id,week,trend_name,audience,occasion,clothing_item,color_palette,fabric,fit,styling_rules,model_identity,pose,background,camera_style,negative_prompt,shopping_keywords,affiliate_links,status,notes
W21-P008,2026-W21-test,Crinkled & Sandy Texture,都會極簡,週末閒晃,Washed muslin pullover,pale khaki,washed cotton muslin,relaxed boxy fit,"indigo twisted denim, pointed-toe ecru flats",Mika Lin,candid laughing shot,quiet Tokyo backstreet,"50mm natural, dappled light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,水洗棉上衣 / 燕麥色寬鬆上衣,,draft,trend_origin=japan_korea; platform=Pinterest 2:3 Pin; tw_focus=水洗棉上衣 / 燕麥色寬鬆上衣
W21-P009,2026-W21-test,Crinkled & Sandy Texture,預算族,海島度假前哨,Sand crinkled cotton midi skirt,sand,crinkled cotton,"elastic high waist, A-line midi","white linen tank, woven sandals, straw bucket hat",Mika Lin,standing on sandy stairs,beach access steps,"35mm, late afternoon",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,皺感沙色長裙 / 棉麻沙灘裙,,draft,trend_origin=fast_fashion_mass; platform=Instagram Reels; tw_focus=皺感沙色長裙 / 棉麻沙灘裙
W21-P010,2026-W21-test,Sacai Unfinished Tailoring,創意產業,活動,Spliced half blazer,navy + cream,wool tailoring + nylon sateen,"asymmetric, single dropped shoulder","white tee, cream wide trousers, pointed slingbacks",Mika Lin,"three-quarter view, looking down",Paris studio brick wall,"35mm editorial, cool natural light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,拼接西裝外套 / 不對稱外套,,draft,trend_origin=japan_korea; platform=Instagram Reels; tw_focus=拼接西裝外套 / 不對稱外套
W21-P011,2026-W21-test,Sacai Unfinished Tailoring,時裝感,街拍,Half-T-shirt half-blouse hybrid,black + ivory,cotton jersey + silk poplin,"asymmetric hem, one sleeve","high-waist black tailored trousers, chunky leather sandals",Mika Lin,dynamic walking shot,graffiti-free white wall,"50mm, harsh daylight",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,拼接上衣 / 不對稱襯衫,,draft,trend_origin=japan_korea; platform=小紅書圖文筆記; tw_focus=拼接上衣 / 不對稱襯衫
W21-P012,2026-W21-test,Sacai Unfinished Tailoring,時裝週受眾,品牌拍攝,Deconstructed trench dress,olive + sand,cotton twill + nylon sateen,"trench top half, dress bottom half, midi","minimal black slip beneath, sculpted leather sandals",Mika Lin,"still portrait, hands in pockets",industrial loft window,"85mm portrait, soft overcast",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,解構風衣洋裝 / 拼接連身裙,,draft,trend_origin=japan_korea; platform=Instagram Carousel; tw_focus=解構風衣洋裝 / 拼接連身裙
W21-P013,2026-W21-test,Sacai Unfinished Tailoring,創意,週末品牌活動,MA-1 cocoon dress,inky navy,nylon sateen,"cocoon dropped shoulder, knee length","chunky black sandals, oversized sunglasses",Mika Lin,leaning against gallery column,minimalist gallery white box,35mm editorial,AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,MA-1 連身裙 / 飛行員風洋裝,,draft,trend_origin=western_street_luxury; platform=Pinterest 2:3 Pin; tw_focus=MA-1 連身裙 / 飛行員風洋裝
W21-P014,2026-W21-test,Cobalt Pop,派對,生日夜,Cobalt bias mini dress,cobalt blue,satin,"bias-cut spaghetti strap, above the knee","silver strappy heels, minimal silver hoops",Mika Lin,looking back over shoulder,warm-lit rooftop bar,"50mm low light, shallow DOF",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,鈷藍緞面短洋裝 / 電光藍洋裝,,draft,trend_origin=international_designer; platform=Instagram Reels; tw_focus=鈷藍緞面短洋裝 / 電光藍洋裝
W21-P015,2026-W21-test,Cobalt Pop,視覺向,下午茶,Cobalt knit polo,cobalt,fine merino knit,"slim fit, short sleeves, collar","cream pleated midi skirt, white knee socks, mary janes",Mika Lin,seated at cafe window,Parisian cafe window,85mm warm window light,AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,鈷藍針織 polo / 電光藍上衣,,draft,trend_origin=international_designer; platform=小紅書圖文筆記; tw_focus=鈷藍針織 polo / 電光藍上衣
W21-P016,2026-W21-test,Cobalt Pop,預算族,週末逛街,Cobalt canvas crossbody,cobalt,coated canvas,"small crossbody bag, silver hardware","white tank, cream wide trousers, white sneakers",Mika Lin,candid walking shot,信義區人行道,35mm sunny street,AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,藍色斜背包 / 電光藍小包,,draft,trend_origin=fast_fashion_mass; platform=Pinterest 2:3 Pin; tw_focus=藍色斜背包 / 電光藍小包
W21-P017,2026-W21-test,Cobalt Pop,輕奢,晚宴,Cobalt strappy heels,cobalt,satin pump,"thin ankle strap, pointed toe",all-cream silk slip dress,Mika Lin,seated leg cross detail shot,velvet banquette,"100mm macro detail, warm",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,鈷藍細跟鞋 / 寶藍涼鞋,,draft,trend_origin=western_street_luxury; platform=Instagram Carousel; tw_focus=鈷藍細跟鞋 / 寶藍涼鞋
W21-P018,2026-W21-test,Quiet Drama Accessories,都會,通勤,Structured chocolate shoulder bag,chocolate brown,smooth calf leather,"boxy, short top handles, silver hardware",cream knit + ecru straight trousers,Mika Lin,"side profile, bag prominent",Taipei MRT exit,"85mm portrait, cool daylight",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,結構感肩背包 / 巧克力色方包,,draft,trend_origin=international_designer; platform=Instagram Carousel; tw_focus=結構感肩背包 / 巧克力色方包
W21-P019,2026-W21-test,Quiet Drama Accessories,靜奢,約會,Glove flat slingback,cream,"soft calf leather, paper-thin sole","pointed toe, elastic heel strap",indigo denim + buttery yellow knit tank,Mika Lin,candid step on stairs,Da'an wooden stairwell,50mm warm light,AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,手套鞋 / 尖頭 slingback,,draft,trend_origin=western_street_luxury; platform=Pinterest 2:3 Pin; tw_focus=手套鞋 / 尖頭 slingback
W21-P020,2026-W21-test,Quiet Drama Accessories,全 quiet luxury,週末品牌活動,Pure white structured top-handle bag,crisp white,smooth white leather,"small structured, single top handle",all-cream outfit + oversized aviators,Mika Lin,front-on portrait,sunny stucco wall,85mm crisp daylight,AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,純白方包 / 白色手提包,,draft,trend_origin=international_designer; platform=Instagram Reels; tw_focus=純白方包 / 白色手提包
W26-P001,2026-W26,薄紗/透視層次（Sheer Layering）,通勤極簡派,通勤,薄紗罩衫,奶油白/黑,雪紡/歐根紗,微寬鬆疊穿,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,international_designer｜平台優先 Instagram｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P002,2026-W26,波點洋裝/套裝（Polka Dots）,約會甜酷派,約會,波點洋裝,黑白波點/紅唇色,緞面/雪紡,直筒或 A 字,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,japan_korea｜平台優先 小紅書｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P003,2026-W26,復古輪廓墨鏡（Oval/Retro Sunglasses）,內容創作者,旅行/戶外,橢圓墨鏡+絲巾,茶色/奶油白/黑,醋酸纖維/絲,配件主導,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,western_street_luxury｜平台優先 Pinterest｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P004,2026-W26,低腰細腰線（Lower Waist/Defined Waist）,小資日常派,週末,低腰直筒褲+腰帶,石灰/黑/灰,西裝料/皮革,合身上衣+直筒下身,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,fast_fashion_mass｜平台優先 Instagram｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P005,2026-W26,柔霧奶油色（Creamy Neutrals）,Pinterest 極簡收藏,日常街拍,奶油色亞麻套裝,燕麥/奶油白/棕,亞麻/棉,寬鬆但乾淨,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,western_street_luxury｜平台優先 Pinterest｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P006,2026-W26,薄紗/透視層次（Sheer Layering）,通勤極簡派,通勤,薄紗罩衫,奶油白/黑,雪紡/歐根紗,微寬鬆疊穿,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,international_designer｜平台優先 Instagram｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P007,2026-W26,波點洋裝/套裝（Polka Dots）,約會甜酷派,約會,波點洋裝,黑白波點/紅唇色,緞面/雪紡,直筒或 A 字,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,japan_korea｜平台優先 小紅書｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P008,2026-W26,復古輪廓墨鏡（Oval/Retro Sunglasses）,內容創作者,旅行/戶外,橢圓墨鏡+絲巾,茶色/奶油白/黑,醋酸纖維/絲,配件主導,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,western_street_luxury｜平台優先 Pinterest｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P009,2026-W26,低腰細腰線（Lower Waist/Defined Waist）,小資日常派,週末,低腰直筒褲+腰帶,石灰/黑/灰,西裝料/皮革,合身上衣+直筒下身,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,fast_fashion_mass｜平台優先 Instagram｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P010,2026-W26,柔霧奶油色（Creamy Neutrals）,Pinterest 極簡收藏,日常街拍,奶油色亞麻套裝,燕麥/奶油白/棕,亞麻/棉,寬鬆但乾淨,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,western_street_luxury｜平台優先 Pinterest｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P011,2026-W26,薄紗/透視層次（Sheer Layering）,通勤極簡派,通勤,薄紗罩衫,奶油白/黑,雪紡/歐根紗,微寬鬆疊穿,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,international_designer｜平台優先 Instagram｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P012,2026-W26,波點洋裝/套裝（Polka Dots）,約會甜酷派,約會,波點洋裝,黑白波點/紅唇色,緞面/雪紡,直筒或 A 字,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,japan_korea｜平台優先 小紅書｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P013,2026-W26,復古輪廓墨鏡（Oval/Retro Sunglasses）,內容創作者,旅行/戶外,橢圓墨鏡+絲巾,茶色/奶油白/黑,醋酸纖維/絲,配件主導,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,western_street_luxury｜平台優先 Pinterest｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P014,2026-W26,低腰細腰線（Lower Waist/Defined Waist）,小資日常派,週末,低腰直筒褲+腰帶,石灰/黑/灰,西裝料/皮革,合身上衣+直筒下身,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,fast_fashion_mass｜平台優先 Instagram｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P015,2026-W26,柔霧奶油色（Creamy Neutrals）,Pinterest 極簡收藏,日常街拍,奶油色亞麻套裝,燕麥/奶油白/棕,亞麻/棉,寬鬆但乾淨,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,western_street_luxury｜平台優先 Pinterest｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P016,2026-W26,薄紗/透視層次（Sheer Layering）,通勤極簡派,通勤,薄紗罩衫,奶油白/黑,雪紡/歐根紗,微寬鬆疊穿,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,international_designer｜平台優先 Instagram｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P017,2026-W26,波點洋裝/套裝（Polka Dots）,約會甜酷派,約會,波點洋裝,黑白波點/紅唇色,緞面/雪紡,直筒或 A 字,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,japan_korea｜平台優先 小紅書｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P018,2026-W26,復古輪廓墨鏡（Oval/Retro Sunglasses）,內容創作者,旅行/戶外,橢圓墨鏡+絲巾,茶色/奶油白/黑,醋酸纖維/絲,配件主導,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,western_street_luxury｜平台優先 Pinterest｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P019,2026-W26,低腰細腰線（Lower Waist/Defined Waist）,小資日常派,週末,低腰直筒褲+腰帶,石灰/黑/灰,西裝料/皮革,合身上衣+直筒下身,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,fast_fashion_mass｜平台優先 Instagram｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
W26-P020,2026-W26,柔霧奶油色（Creamy Neutrals）,Pinterest 極簡收藏,日常街拍,奶油色亞麻套裝,燕麥/奶油白/棕,亞麻/棉,寬鬆但乾淨,全身不超過 3 種顏色；不出現明顯 Logo；用 1 件主角 + 2 個細節完成造型。,Mika Lin,站姿 3/4 側身，雙手自然垂放,乾淨的室內灰白牆面與柔光窗邊,"50mm, eye-level, editorial street style, natural soft light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,"薄紗 罩衫, 波點 洋裝, 橢圓 墨鏡, 絲巾, 腰帶 穿搭, 奶油色 套裝",,draft,western_street_luxury｜平台優先 Pinterest｜台灣落地：以平價可搜尋單品替代（薄紗/波點/墨鏡/絲巾/腰帶/奶油色）
